day,x,y,z
0,-1.471858391663588E11,-2.860995816266412E10,8278183.19359608
1,-2.520778543370491E11,-3.3461620240652157E10,8336380.647429815
2,-2.8367476566580676E11,-3.831814335711815E10,8393445.397251332
3,-3.152628785934385E11,-4.317341507435874E10,8450465.125367071
4,-3.4684356758952234E11,-4.802762614860735E10,8507448.469027974
5,-3.784179277958884E11,-5.288092897559188E10,8564402.160300314
6,-4.0998683888479663E11,-5.773344650534398E10,8621331.412415583
7,-4.4155101477171375E11,-6.258527900366084E10,8678240.283545334
8,-4.7311104108645966E11,-6.7436509112214066E10,8735131.963380087
9,-5.046674032356212E11,-7.228720563851564E10,8792008.987219384
10,-5.36220507498666E11,-7.713742641401936E10,8848873.393462969
11,-5.677706970163447E11,-8.198722046976863E10,8905726.839392215
12,-5.993182640280725E11,-8.683662970967923E10,8962570.686787434
13,-6.308634593360916E11,-9.16856902109482E10,9019406.065797202
14,-6.624064997008335E11,-9.653443324502054E10,9076233.92306294
15,-6.939475736776371E11,-1.0138288608701118E11,9133055.058358723
16,-7.254868462672626E11,-1.0623107266336299E11,9189870.152776957
17,-7.5702446265463E11,-1.1107901407459102E11,9246679.79062967
18,-7.885605512399614E11,-1.159267290206592E11,9303484.476631816
19,-8.20095226115728E11,-1.2077423414978056E11,9360284.64950766
20,-8.516285891057549E11,-1.2562154434648125E11,9417080.692859482
21,-8.83160731455551E11,-1.304686729711057E11,9473872.94392163
22,-9.146917352426505E11,-1.3531563206020546E11,9530661.700666811
23,-9.462216745605325E11,-1.4016243249519342E11,9587447.227617621
24,-9.777506165181726E11,-1.450090841450791E11,9644229.760632573
25,-1.0092786220884891E12,-1.4985559598790115E11,9701009.510873701
26,-1.0408057468321808E12,-1.5470197621454565E11,9757786.668116288
27,-1.0723320415182134E12,-1.595482323179187E11,9814561.403526127
28,-1.1038575526581125E12,-1.6439437116987582E11,9871333.87200301
29,-1.1353823229679985E12,-1.6924039908786496E11,9928104.214168645
30,-1.1669063917697495E12,-1.7408632189288593E11,9984872.558061387
31,-1.198429795340644E12,-1.7893214496008588E11,1.0041639020587828E7
32,-1.2299525672192058E12,-1.8377787326308276E11,1.0098403708771698E7
33,-1.2614747384736577E12,-1.8862351141292523E11,1.0155166720832892E7
34,-1.2929963379383303E12,-1.9346906369244757E11,1.021192814712344E7
35,-1.3245173924224976E12,-1.9831453408665662E11,1.0268688070942415E7
36,-1.3560379268954045E12,-2.0315992630968698E11,1.032544656924799E7
37,-1.3875579646506663E12,-2.0800524382877875E11,1.0382203713281738E7
38,-1.4190775274527324E12,-2.1285048988566293E11,1.0438959569117911E7
39,-1.4505966356677134E12,-2.176956675156836E11,1.049571419814853E7
40,-1.4821153083805247E12,-2.225407795649375E11,1.055246765751364E7
41,-1.5136335635000317E12,-2.273858287056727E11,1.0609220000485154E7
42,-1.5451514178536357E12,-2.3223081745015384E11,1.0665971276811762E7
43,-1.5766688872725488E12,-2.370757481631735E11,1.0722721533018176E7
44,-1.6081859866688352E12,-2.4192062307336502E11,1.0779470812673032E7
45,-1.6397027301051528E12,-2.4676544428345203E11,1.083621915663652E7
46,-1.6712191308580093E12,-2.5161021377955185E11,1.0892966603278607E7
47,-1.7027352014752422E12,-2.5645493343963614E11,1.0949713188676532E7
48,-1.7342509538283452E12,-2.6129960504123822E11,1.1006458946793126E7
49,-1.765766399160183E12,-2.6614423026848642E11,1.1063203909638168E7
50,-1.7972815481285752E12,-2.709888107185325E11,1.111994810741468E7
51,-1.8287964108461694E12,-2.75833347907437E11,1.1176691568651788E7
52,-1.8603109969169773E12,-2.806778432755653E11,1.1233434320325645E7
53,-1.8918253154699026E12,-2.855222981925422E11,1.1290176387969635E7
54,-1.923339375189552E12,-2.90366713961808E11,1.1346917795775006E7
55,-1.9548531843445913E12,-2.952110918248139E11,1.1403658566682898E7
56,-1.9863667508138745E12,-3.000554329648903E11,1.1460398722468639E7
57,-2.0178800821105554E12,-3.048997385108177E11,1.151713828381907E7
58,-2.049393185404364E12,-3.0974400954012805E11,1.1573877270403577E7
59,-2.0809060675422124E12,-3.145882470821602E11,1.1630615700939445E7
60,-2.1124187350672795E12,-3.194324521208907E11,1.1687353593252052E7
61,-2.1439311942367068E12,-3.2427662559756006E11,1.1744090964330403E7
62,-2.1754434510380234E12,-3.291207684131119E11,1.1800827830378413E7
63,-2.2069555112044106E12,-3.3396488143046014E11,1.1857564206862329E7
64,-2.2384673802289014E12,-3.388089654765994E11,1.1914300108554633E7
65,-2.269979063377602E12,-3.436530213445709E11,1.1971035549574751E7
66,-2.301490565702018E12,-3.484970497952956E11,1.2027770543426802E7
67,-2.333001892050554E12,-3.5334105155928546E11,1.2084505103034688E7
68,-2.3645130470792544E12,-3.581850273382424E11,1.2141239240774712E7
69,-2.396024035261841E12,-3.630289778065531E11,1.2197972968505947E7
70,-2.427534860899108E12,-3.678729036126886E11,1.2254706297598535E7
71,-2.4590455281277188E12,-3.727168053805151E11,1.231143923896008E7
72,-2.4905560409284497E12,-3.7756068371052295E11,1.2368171803060288E7
73,-2.5220664031339224E12,-3.8240453918098016E11,1.2424903999953996E7
74,-2.5535766184358647E12,-3.872483723490154E11,1.248163583930271E7
75,-2.58508669039193E12,-3.9209218375163556E11,1.2538367330394762E7
76,-2.6165966224321113E12,-3.9693597390668353E11,1.2595098482164204E7
77,-2.6481064178647744E12,-4.01779743313739E11,1.2651829303208519E7
78,-2.6796160798823403E12,-4.066234924549673E11,1.2708559801805243E7
79,-2.711125611566639E12,-4.114672217959194E11,1.2765289985927578E7
80,-2.742635015893958E12,-4.1631093178628656E11,1.2822019863259066E7
81,-2.7741442957398066E12,-4.211546228606125E11,1.287874944120739E7
82,-2.805653453883413E12,-4.259982954389661E11,1.293547872691737E7
83,-2.8371624930119746E12,-4.308419499275774E11,1.2992207727283195E7
84,-2.8686714157246772E12,-4.356855867194385E11,1.3048936448959967E7
85,-2.9001802245364946E12,-4.4052920619487274E11,1.3105664898374578E7
86,-2.9316889218817876E12,-4.453728087220735E11,1.3162393081735985E7
87,-2.963197510117712E12,-4.502163946576144E11,1.3219121005044913E7
88,-2.9947059915274487E12,-4.5505996434693317E11,1.327584867410302E7
89,-3.0262143683232666E12,-4.599035181247906E11,1.3332576094521571E7
90,-3.0577226426494277E12,-4.6474705631570605E11,1.338930327172965E7
91,-3.089230816584947E12,-4.6959057923437103E11,1.344603021098192E7
92,-3.120738892146211E12,-4.744340871860419E11,1.3502756917365994E7
93,-3.15224687128947E12,-4.792775804669133E11,1.3559483395809408E7
94,-3.183754755913204E12,-4.8412105936447375E11,1.3616209651086243E7
95,-3.2152625478603745E12,-4.8896452415784283E11,1.3672935687823402E7
96,-3.2467702489205693E12,-4.938079751180934E11,1.3729661510506578E7
97,-3.2782778608320425E12,-4.9865141250855774E11,1.3786387123485921E7
98,-3.309785385283659E12,-5.0349483658511957E11,1.384311253098142E7
99,-3.3412928239167485E12,-5.083382475964923E11,1.3899837737088026E7
100,-3.372800178326872E12,-5.1318164578448444E11,1.395656274578053E7
101,-3.4043074500655073E12,-5.180250313842528E11,1.4013287560918191E7
102,-3.4358146406416587E12,-5.2286840462454443E11,1.4070012186249167E7
103,-3.4673217515233926E12,-5.277117657279272E11,1.412673662541471E7
104,-3.4988287841393047E12,-5.3255511491101056E11,1.4183460881953191E7
105,-3.5303357398799224E12,-5.373984523846563E11,1.424018495930392E7
106,-3.561842620099046E12,-5.422417783541802E11,1.4296908860810796E7
107,-3.5933494261150293E12,-5.470850930195445E11,1.4353632589725798E7
108,-3.6248561592120073E12,-5.519283965755428E11,1.4410356149212306E7
109,-3.65636282064107E12,-5.567716892119767E11,1.4467079542348284E7
110,-3.687869411621385E12,-5.616149711138245E11,1.4523802772129318E7
111,-3.7193759333412764E12,-5.664582424614034E11,1.4580525841471517E7
112,-3.750882386959256E12,-5.713015034305255E11,1.46372487532143E7
113,-3.78238877360501E12,-5.761447541926454E11,1.469397151012304E7
114,-3.81389509438035E12,-5.809879949150039E11,1.4750694114891626E7
115,-3.8454013503601216E12,-5.858312257607649E11,1.4807416570144884E7
116,-3.8769075425930757E12,-5.906744468891465E11,1.4864138878440922E7
117,-3.908413672102709E12,-5.955176584555474E11,1.492086104227336E7
118,-3.9399197398880664E12,-6.003608606116681E11,1.4977583064073475E7
119,-3.9714257469245137E12,-6.052040535056273E11,1.503430494621226E7
120,-4.002931694164481E12,-6.100472372820737E11,1.5091026691002395E7
121,-4.0344375825381753E12,-6.14890412082294E11,1.5147748300700134E7
122,-4.065943412954267E12,-6.197335780443153E11,1.5204469777507128E7
123,-4.0974491863005493E12,-6.245767353030059E11,1.5261191123572169E7
124,-4.1289549034445728E12,-6.294198839901697E11,1.5317912340992857E7
125,-4.160460565234256E12,-6.342630242346393E11,1.537463343181722E7
126,-4.191966172498474E12,-6.391061561623643E11,1.5431354398045255E7
127,-4.223471726047624E12,-6.439492798964963E11,1.5488075241630413E7
128,-4.25497722667417E12,-6.487923955574719E11,1.5544795964481035E7
129,-4.2864826751531685E12,-6.536355032630914E11,1.5601516568461727E7
130,-4.317988072242775E12,-6.584786031285953E11,1.5658237055394677E7
131,-4.3494934186847305E12,-6.63321695266738E11,1.5714957427060936E7
132,-4.3809987152048335E12,-6.681647797878589E11,1.577167768520164E7
133,-4.412503962513393E12,-6.730078567999506E11,1.5828397831519194E7
134,-4.444009161305663E12,-6.778509264087251E11,1.5885117867678411E7
135,-4.475514312262273E12,-6.826939887176777E11,1.5941837795307605E7
136,-4.507019416049627E12,-6.875370438281486E11,1.5998557615999646E7
137,-4.5385244733203E12,-6.923800918393818E11,1.6055277331312986E7
138,-4.570029484713419E12,-6.972231328485834E11,1.6111996942772632E7
139,-4.601534450855029E12,-7.02066166950976E11,1.61687164518711E7
140,-4.633039372358449E12,-7.06909194239853E11,1.6225435860069327E7
141,-4.664544249824612E12,-7.117522148066304E11,1.6282155168797553E7
142,-4.696049083842399E12,-7.165952287408964E11,1.6338874379456168E7
143,-4.727553874988957E12,-7.2143823613046E11,1.6395593493416542E7
144,-4.75905862383001E12,-7.262812370613978E11,1.6452312512021812E7
145,-4.790563330920156E12,-7.311242316180995E11,1.6509031436587648E7
146,-4.822067996803162E12,-7.359672198833113E11,1.6565750268403003E7
147,-4.853572622012238E12,-7.408102019381786E11,1.6622469008730814E7
148,-4.885077207070313E12,-7.45653177862287E11,1.6679187658808706E7
149,-4.916581752490297E12,-7.504961477337017E11,1.6735906219849655E7
150,-4.948086258775332E12,-7.553391116290063E11,1.6792624693042636E7
151,-4.979590726419043E12,-7.601820696233403E11,1.6849343079553246E7
152,-5.011095155905773E12,-7.650250217904346E11,1.6906061380524315E7
153,-5.042599547710816E12,-7.698679682026467E11,1.6962779597076483E7
154,-5.074103902300642E12,-7.747109089309949E11,1.701949773030878E7
155,-5.105608220133109E12,-7.795538440451906E11,1.707621578129915E7
156,-5.137112501657682E12,-7.843967736136707E11,1.713293375110502E7
157,-5.168616747315628E12,-7.892396977036282E11,1.7189651640763782E7
158,-5.200120957540223E12,-7.940826163810422E11,1.7246369451293297E7
159,-5.231625132756935E12,-7.989255297107072E11,1.7303087183692396E7
160,-5.263129273383616E12,-8.037684377562606E11,1.735980483894133E7
161,-5.294633379830684E12,-8.08611340580211E11,1.7416522418002225E7
162,-5.326137452501291E12,-8.134542382439644E11,1.747323992181954E7
163,-5.357641491791502E12,-8.182971308078492E11,1.7529957351320475E7
